"HCPCS","DESCRIPTION"
"G8656","Residual functional status clinical response score, lower extremity functional assessment index, score less than 0"
"G8658","Residual functional status clinical response score, lower extremity functional assessment index, no score, survey completed"
"G8659","Residual functional status clinical response score, low back injury, score greater than or equal to 0"
"G8660","Residual functional status clinical response score, low back injury, score less than 0"
"G8661","Residual functional status clinical response score, low back injury, no score"
"G8662","Residual functional status clinical response score, low back injury, no score, survey not completed"
"G8663","Residual functional status clinical response score, shoulder injury, score greater than or equal to 0"
"G8664","Residual functional status clinical response score, shoulder injury, score less than 0"
"G8666","Residual functional status clinical response score, shoulder injury, no score, survey not completed"
"G8667","Residual functional status clinical response score, elbow, wrist or hand, score greater than or equal to 0"
"G8668","Residual functional status clinical response score, elbow, wrist or hand, score less than 0"
"G8670","Residual functional status clinical response score, elbow, wrist or hand, no score, survey not completed"
"G8694","Left ventricular ejection fraction less than or equal to 40%"
"G8708","Antibiotic not prescribed"
"G8709","Upper respiratory infection episode with competing diagnosis"
"G8710","Patient prescribed antibiotic"
"G8711","Prescribed antibiotic on or within 3 days"
"G8712","Antibiotic not prescribed"
"G8721","Pathologic regional lymph node status and histologic grade documented"
"G8722","Medical reason pathologic regional lymph node status and histologic grade not documented"
"G8723","Specimen site other than primary tumor"
"G8724","Pathologic regional lymph node status and histologic grade not documented, reason not otherwise specified"
"G8733","Documented positive elder maltreatment screening and follow-up plan"
"G8734","Documented negative elder maltreatment screening, no follow-up required"
"G8735","Elder maltreatment screening positive, no follow-up plan documented, reason not given"
"G8749","No signs of melanoma"
"G8752","Systolic blood pressure less than 140 mmHg"
"G8753","Systolic blood pressure greater than or equal to 140 mmHg"
"G8754","Diastolic blood pressure less than 90 mmHg"
"G8755","Diastolic blood pressure greater than or equal to 90 mmHg"
"G8756","No blood pressure measurement documented"
"G8783","Blood pressure screening performed, recommended interval documented"
"G8785","Blood pressure screening not performed, reason not specified"
"G8797","Specimen site other than esophagus"
"G8798","Specimen site other than prostate"
"G8806","Performed ultrasound to locate pregnancy documented"
"G8807","No transabdominal or transvaginal ultrasound performed"
"G8808","Ultrasound not performed, reason not given"
"G8815","Documented reason for no statin therapy"
"G8816","Statin medication prescribed at discharge"
"G8817","Documented reason for no statin medication at discharge"
"G8826","Patient discharged home by day 2 following endovascular aneurysm repair (EVAR)"
"G8833","Patient not discharged home by day 2 following EVAR"
"G8834","Patient discharged home by day 2 following carotid endarterectomy (CEA)"
"G8838","Patient not discharged home by day 2"
"G8839","Sleep apnea assessment performed"
"G8840","Documented reason for no sleep apnea assessment"
"G8841","No sleep apnea assessment performed"
"G8842","AHI, RDI, or REI documented within 2 months"
"G8843","Documented reason for no AHI, RDI, or REI measurement"
"G8844","No AHI, RDI, or REI at initial diagnosis, no reason given"
"G8845","Positive airway pressure therapy prescribed"
"G8846","Moderate or severe obstructive sleep apnea"
"G8849","Documented reason for no positive airway pressure therapy"
"G8850","No positive airway pressure therapy prescribed"
"G8851","Adherence to therapy assessed at least annually"
"G8854","Reason for no adherence to therapy documented"
"G8855","Therapy adherence not assessed annually"
"G8856","Referral for otolaryngology evaluation performed"
"G8857","Patient not eligible for otolaryngology evaluation referral"
"G8858","Patient not referred for otolaryngology evaluation"
"G8863","Bone loss assessment not performed"
"G8864","Pneumococcal vaccine administered"
"G8865","Documented medical reason for no pneumococcal vaccination"
"G8866","Documented patient reason for no pneumococcal vaccination"
"G8867","No pneumococcal vaccine administered"
"G8869","Hepatitis B immunization documented prior to anti-TNF therapy"
"G8875","Breast cancer diagnosed by minimally invasive procedure"
"G8876","Documented reason for no minimally invasive diagnosis"
"G8877","Breast cancer not diagnosed by minimally invasive procedure"
"G8878","Sentinel lymph node biopsy performed"
"G8880","Sentinel lymph node biopsy not performed"
"G8881","Breast cancer stage greater than T1N0M0"
"G8882","No sentinel lymph node biopsy performed"
"G8907","Patient documented with no adverse events at discharge"
"G8908","Patient documented with burn prior to discharge"
"G8909","Patient documented with no burn prior to discharge"
"G8910","Patient documented as having a fall in ambulatory surgical center"
"G8911","Patient documented as having no fall in ambulatory surgical center"
"G8912","Patient documented with wrong site, wrong side, wrong patient, wrong procedure, or wrong implant event"
"G8913","Patient documented with no wrong site, wrong side, wrong patient, wrong procedure, or wrong implant event"
"G8914","Patient transferred to hospital post-discharge"
"G8915","Patient not transferred to hospital at discharge"
"G8916","Patient with intravenous antibiotic given on time"
"G8917","Patient with intravenous antibiotic not given on time"
"G8918","Patient without preoperative order for intravenous antibiotic prophylaxis"
"G8923","Left ventricular ejection fraction (LVEF) 40% or less, or left ventricular systolic dysfunction"
"G8924","Spirometry result documented with FEV1/FVC ratio less than 70%"
"G8934","LVEF 40% or less, or depressed left ventricular systolic function"
"G8935","ACE inhibitor or ARB therapy prescribed"
"G8936","Patient not eligible for ACE inhibitor or ARB therapy"
"G8937","No ACE inhibitor or ARB therapy prescribed"
"G8942","Functional status and care plan documented within 30 days"
"G8944","AJCC melanoma stage 0 through IIC"
"G8946","Minimally invasive breast mass present, no diagnosis of breast cancer"
"G8950","Pre-hypertension or hypertension documented, follow-up indicated"
"G8952","Pre-hypertension or hypertension present, follow-up not given"
"G8955","Most recent volume management assessment documented"
"G8956","Patient receiving hemodialysis at outpatient dialysis facility"
"G8958","Volume management assessment not documented"
"G8961","Cardiac stress imaging for low-risk surgical patients, preoperative"
"G8962","Cardiac stress imaging performed on patient for any reason within 30 days"
"G8967","Warfarin or other FDA-approved anticoagulant prescribed"
"G8968","Documented reason for medication not prescribed"
"G8969","Documented patient reason for no warfarin or FDA-approved anticoagulant prescribed"
"G8970","No risk factors or only one moderate risk factor for thromboembolism"
"G9001","Medicare Care Coordination Demonstration, initial rate"
"G9002","Medicare Care Coordination Demonstration, maintenance rate"
"G9003","Medicare Care Coordination Demonstration, risk-adjusted high, initial"
"G9004","Medicare Care Coordination Demonstration, risk-adjusted low, initial"
"G9005","Medicare Care Coordination Demonstration, risk-adjusted, maintenance"
"G9006","Medicare Care Coordination Demonstration, home monitoring"
"G9007","Medicare Care Coordination Demonstration, scheduled team conference"
"G9008","Medicare Care Coordination Demonstration, physician care coordination oversight"
"G9009","Medicare Care Coordination Demonstration, risk-adjusted, level 3"
"G9010","Medicare Care Coordination Demonstration, risk-adjusted, level 4"
"G9011","Medicare Care Coordination Demonstration, risk-adjusted, level 5"
"G9012","Other specified case management"
"G9013","End-stage renal disease demonstration bundle, level I"
"G9014","End-stage renal disease demonstration bundle, level II"
"G9016","Demonstration project smoking cessation counseling"
"G9050","Oncology initial work-up evaluation"
"G9051","Oncology treatment decision and management"
"G9052","Oncology surveillance for disease recurrence or progression"
"G9053","Oncology expectant management of patient"
"G9054","Oncology supervision of palliative care"
"G9055","Oncology visit, unspecified"
"G9056","Oncology practice management adheres to clinical guidelines"
"G9057","Oncology practice management differs due to clinical trial participation"
"G9058","Oncology practice management disagrees with clinical guidelines"
"G9059","Oncology practice management differs due to patient preference for alternative treatment"
"G9060","Oncology practice management differs due to patient comorbidities"
"G9061","Oncology practice management differs because condition is not addressed by clinical guidelines"
"G9062","Oncology practice management differs from guidelines, not otherwise specified"
"G9063","Oncology diagnosis: NSCLC stage I, no progression"
"G9064","Oncology diagnosis: NSCLC stage II, no progression"
"G9065","Oncology diagnosis: NSCLC stage IIIA, no progression"
"G9066","Oncology diagnosis: NSCLC stage IIIB-IV, metastatic"
"G9067","Oncology diagnosis: NSCLC, extent unknown"
"G9068","Oncology diagnosis: SCLC/NSCLC, limited stage at diagnosis"
"G9069","Oncology diagnosis: SCLC/NSCLC, extensive stage at diagnosis"
"G9070","Oncology diagnosis: SCLC/NSCLC, extent unknown"
"G9071","Oncology diagnosis: breast cancer stage I-IIB, hormone receptor positive, no progression"
"G9072","Oncology diagnosis: breast cancer stage I-II, no progression"
"G9073","Oncology diagnosis: breast cancer stage III, hormone receptor positive, no progression"
"G9074","Oncology diagnosis: breast cancer stage III, no progression"
"G9075","Oncology diagnosis: breast cancer, metastatic or recurrent"
"G9077","Oncology diagnosis: prostate cancer T1, no progression"
"G9078","Oncology diagnosis: prostate cancer T2, no progression"
"G9079","Oncology diagnosis: prostate cancer T3b-T4, no progression"
"G9080","Oncology diagnosis: prostate cancer with rising PSA"
"G9083","Oncology diagnosis: prostate cancer, extent unknown"
"G9084","Oncology diagnosis: colon cancer T1-3, N1-2, no progression"
"G9085","Oncology diagnosis: colon cancer T4, N0, no progression"
"G9086","Oncology diagnosis: colon cancer T1-4, no progression"
"G9087","Oncology diagnosis: colon cancer with metastatic evidence at diagnosis"
"G9088","Oncology diagnosis: colon cancer with no metastatic evidence at diagnosis"
"G9089","Oncology diagnosis: colon cancer, extent unknown"
"G9090","Oncology diagnosis: rectal cancer T1-2, no progression"
"G9091","Oncology diagnosis: rectal cancer T3, N0, no progression"
"G9092","Oncology diagnosis: rectal cancer T1-3, N1-2, no progression"
"G9093","Oncology diagnosis: rectal cancer T4, N, M0, no progression"
"G9094","Oncology diagnosis: rectal cancer M1 with metastatic progression"
"G9095","Oncology diagnosis: rectal cancer, extent unknown"
"G9096","Oncology diagnosis: esophageal cancer T1-T3, no progression"
"G9097","Oncology diagnosis: esophageal cancer T4, no progression"
"G9098","Oncology diagnosis: esophageal cancer, metastatic or recurrent"
"G9099","Oncology diagnosis: esophageal cancer, extent unknown"
"G9100","Oncology diagnosis: gastric cancer, no recurrence"
"G9101","Oncology diagnosis: gastric cancer, pathologic resection R1-R2, no progression"
"G9102","Oncology diagnosis: gastric cancer, unresectable"
"G9103","Oncology diagnosis: gastric cancer, recurrent"
"G9104","Oncology diagnosis: gastric cancer, extent unknown"
"G9105","Oncology diagnosis: pancreatic cancer, pathologic resection R0, no progression"
"G9106","Oncology diagnosis: pancreatic cancer, pathologic resection R1/R2, no progression"
"G9107","Oncology diagnosis: pancreatic cancer, unresectable"
"G9108","Oncology diagnosis: pancreatic cancer, extent unknown"
"G9109","Oncology diagnosis: head and neck cancer T1-T2, no progression"
"G9110","Oncology diagnosis: head and neck cancer T3-T4, no progression"
"G9111","Oncology diagnosis: head and neck cancer M1, metastatic or recurrent"
"G9112","Oncology diagnosis: head and neck cancer, extent unknown"
"G9113","Oncology diagnosis: ovarian cancer stage IA-IB, no progression"
"G9114","Oncology diagnosis: ovarian cancer stage IA-IB or stage II"
"G9115","Oncology diagnosis: ovarian cancer stage III or IV, no progression"
"G9116","Oncology diagnosis: ovarian cancer, recurrent"
"G9117","Oncology diagnosis: ovarian cancer, extent unknown"
"G9123","Oncology diagnosis: chronic myeloid leukemia (CML), chronic phase"
"G9124","Oncology diagnosis: CML, accelerated phase"
"G9125","Oncology diagnosis: CML, blast phase"
"G9126","Oncology diagnosis: CML, in remission"
"G9128","Oncology diagnosis: multiple myeloma, stage I"
"G9129","Oncology diagnosis: multiple myeloma, stage II, high risk"
"G9130","Oncology diagnosis: multiple myeloma, extent unknown"
"G9131","Oncology diagnosis: breast cancer, extent unknown"
"G9132","Oncology diagnosis: prostate cancer, metastatic, no castration"
"G9133","Oncology diagnosis: prostate cancer, clinical metastasis"
"G9134","Oncology diagnosis: non-Hodgkin lymphoma (NHL) stage I-II, no relapse"
"G9135","Oncology diagnosis: NHL stage III-IV, not relapsed"
"G9136","Oncology diagnosis: NHL transformed to large B-cell lymphoma"
"G9137","Oncology diagnosis: NHL, relapsed or refractory"
"G9138","Oncology diagnosis: NHL, stage unknown"
"G9139","Oncology diagnosis: CML, disease status unknown"
"G9140","Frontier extended stay demonstration"
"G9143","Warfarin response genetic testing"
"G9147","Outpatient intravenous insulin therapy, any method"
"G9148","Medical home, level I"
"G9149","Medical home, level II"
"G9150","Medical home, level III"
"G9151","MAPCP demonstration, state"
"G9152","MAPCP demonstration, community"
"G9153","MAPCP demonstration, physician"
"G9156","Evaluation for wheelchair"
"G9157","Transesophageal Doppler cardiac monitoring"
"G9187","BPCI home visit"
"G9188","Beta-blocker not given, no reason documented"
"G9189","Beta-blocker prescribed or patient already taking"
"G9190","Medical reason for no beta-blocker"
"G9191","Patient reason for no beta-blocker"
"G9212","Documentation of DSM-IV criteria at initial evaluation"
"G9213","No documentation of DSM-IV criteria"
"G9223","PJP prophylaxis ordered, CD4 count low"
"G9225","No reason given for no foot examination"
"G9226","Three-component foot examination completed"
"G9227","Foot examination documented, care plan not documented"
"G9228","Gonorrhea, chlamydia, and syphilis documented"
"G9230","No reason given for no gonorrhea, chlamydia, and syphilis testing"
"G9231","ESRD, dialysis, transplant, or pregnancy documented"
"G9242","Viral load documented at 200 copies/mL or greater"
"G9243","Viral load documented at less than 200 copies/mL"
"G9246","No encounter, or encounter without viral load within 90 days"
"G9247","Two encounters with viral load within 90 days"
"G9254","Patient documented as discharged greater than 2 days"
"G9255","Patient discharged home on second postoperative day"
"G9273","Systolic blood pressure less than 140 and diastolic less than 90"
"G9274","Blood pressure outside normal limits"
"G9275","Non-tobacco user documented"
"G9276","Tobacco user documented"
"G9277","Daily aspirin use or contraindication documented"
"G9278","No daily aspirin documented"
"G9279","Pneumococcal screening done, vaccination documented"
"G9280","Pneumococcal vaccine not given, no reason documented"
"G9281","Pneumococcal screening done, documented as not indicated"
"G9282","Documented medical reason for no histologic type"
"G9283","Histologic type documented on report"
"G9284","No histologic type documented on report"
"G9285","Specimen site is not small cell lung cancer"
"G9286","Antibiotic prescribed within 10 days of symptom onset"
"G9287","No antibiotic prescribed within 10 days of symptom onset"
"G9288","Documented medical reason for no histologic type on report"
"G9289","Non-small cell lung cancer type documented"
"G9290","Non-small cell lung cancer type not documented"
"G9291","Not non-small cell lung cancer"
"G9292","Medical reason for no pathologic T category"
"G9293","No pathologic T category on report"
"G9294","Pathologic T category and thickness documented on report"
"G9295","Non-cutaneous location"
"G9296","Shared decision-making documented prior to procedure"
"G9297","Shared decision-making not documented prior to procedure"
"G9298","VTE risk evaluation for cardiac patients within 30 days prior"
"G9299","No VTE risk evaluation for cardiac patients prior"
"G9305","No intervention required for leak"
"G9306","Intervention required for leak"
"G9307","No return to surgery within 30 days"
"G9308","Unplanned return to surgery or with complication within 30 days"
"G9309","No unplanned hospital readmission within 30 days"
"G9310","Unplanned hospital readmission within 30 days"
"G9311","No surgical site infection"
"G9312","Surgical site infection"
"G9313","Amoxicillin not prescribed as first-line treatment"
"G9314","No reason given for not prescribing first-line amoxicillin"
"G9315","Amoxicillin with or without clavulanate prescribed"
"G9316","Communication of risk calculation documented"
"G9317","Communication of risk calculation not documented"
"G9318","Imaging report uses standard nomenclature"
"G9319","Imaging report does not use standard nomenclature"
"G9321","Prior CT or nuclear medicine count documented within 12 months"
"G9322","No prior CT or nuclear medicine count documented within 12 months"
"G9341","Search for prior CT performed within 12 months"
"G9342","No search for prior CT within 12 months, no reason given"
"G9344","System reason for no DICOM search"
"G9345","Follow-up of pulmonary nodule performed"
"G9347","No follow-up of pulmonary nodule, no reason given"
"G9351","More than one sinus CT within 90 days of diagnosis documented"
"G9352","Not more than one sinus CT within 90 days of diagnosis"
"G9353","Medical reason for more than one sinus CT within 90 days of diagnosis"
"G9354","One or no sinus CT within 90 days of diagnosis"
"G9355","No early induction or delivery"
"G9356","Early induction or delivery"
"G9357","Postpartum evaluation and education performed"
"G9358","Postpartum evaluation and education not performed"
"G9361","Documented reason for elective cesarean section or induction"
"G9364","Sinusitis caused by bacterial infection"
"G9367","Two or more of the same high-risk medications ordered"
"G9368","Two or more of the same high-risk medications not ordered"
"G9380","Offer of assistance with end-of-life issues"
"G9382","No offer of assistance with end-of-life issues"
"G9383","Hepatitis C virus (HCV) infection screening received"
"G9384","Documented medical reason for no HCV screening"
"G9385","Documented patient reason for not receiving HCV screening"
"G9386","HCV infection screening not received"
"G9393","Initial PHQ-9 score greater than 9, remission score less than 5"
"G9394","Diagnosis of bipolar disorder, death, nursing home residence, or hospitalization"
"G9395","Initial PHQ-9 score greater than 9, no remission, score 5 or greater"
"G9396","Initial PHQ-9 score greater than 9, not assessed"
"G9408","Cardiac tamponade within 30 days"
"G9409","No cardiac tamponade within 30 days"
"G9410","Admission within 180 days requiring device removal"
"G9411","No admission within 180 days requiring device removal"
"G9412","Admission within 180 days requiring surgical revision"
"G9413","No admission requiring surgical revision"
"G9414","One dose meningococcal vaccine between ages 10 and 13"
"G9415","No meningococcal vaccine dose between ages 10 and 13"
"G9416","Patient received one Tdap between ages 10 and 13"
"G9417","Patient did not receive one Tdap between ages 10 and 13"
"G9418","Lung core biopsy report documents classification"
"G9419","Medical reason for not including histologic type"
"G9420","Specimen site is not lung"
"G9421","Lung core biopsy report does not document classification"
"G9422","Report documents classification and histologic type"
"G9423","Medical reason for no histologic type on report"
"G9424","Site is not lung or lung core"
"G9425","Specimen report does not document classification or histologic type"
"G9426","Improved median time from ED arrival to pain medication administration"
"G9427","No improvement in median time to pain medication administration"
"G9428","Pathology report includes pathologic T category"
"G9429","Documented medical reason for no pathologic T category"
"G9430","Specimen site is not cutaneous"
"G9431","Pathology report does not include pathologic T category"
"G9432","Asthma controlled"
"G9434","Asthma not controlled"
"G9452","Documented medical reason for no HCV testing"
"G9455","Abdominal imaging with ultrasound, CT, or MRI"
"G9456","Documented medical or patient reason for no hepatocellular carcinoma screening"
"G9457","Patient had no abdominal imaging, no documented reason"
"G9468","Corticosteroid 10mg or more per day for more than 60 days not received"
"G9470","Corticosteroid for more than 60 days, one prescription of 600mg not received"
"G9471","DXA scan not ordered within 2 years"
"G9473","Chaplain services provided at hospice"
"G9474","Dietary counseling provided at hospice"
"G9475","Other counselor services provided at hospice"
"G9476","Volunteer services provided at hospice"
"G9477","Care coordination provided at hospice"
"G9478","Other therapist services provided at hospice"
"G9479","Pharmacist services provided at hospice"
"G9480","Admission to Medicare Care Coordination Model (MCCM)"
"G9481","Remote evaluation and management, new patient, 10 minutes"
"G9482","Remote evaluation and management, new patient, 20 minutes"
"G9483","Remote evaluation and management, new patient, 30 minutes"
"G9484","Remote evaluation and management, new patient, 45 minutes"
"G9485","Remote evaluation and management, new patient, 60 minutes"
"G9486","Remote evaluation and management, established patient, 10 minutes"
"G9487","Remote evaluation and management, established patient, 15 minutes"
"G9488","Remote evaluation and management, established patient, 25 minutes"
"G9489","Remote evaluation and management, established patient, 40 minutes"
"G9490","CMMI model home visit"
"G9497","Instructions not to smoke on day of surgery received"
"G9498","Antibiotic regimen prescribed"
"G9500","Radiation exposure index and exposure time documented"
"G9501","Radiation exposure index and exposure time not documented"
"G9502","Medical reason for not performing foot examination"
"G9504","Documented reason for hepatitis B status not assessed"
"G9505","Antibiotic prescribed within 10 days of symptom onset"
"G9507","Documented reason patient is on statin or contraindication"
"G9508","Documented patient not on statin therapy"
"G9509","Additional major depressive disorder diagnosis, days in remission at 12 months"
"G9510","Remission at 12 months, PHQ-9 score not less than 5"
"G9511","Index event date with PHQ-9 greater than 9, documented at 12 months"
"G9512","Individual proportion of days covered (PDC) greater than 0.8"
"G9513","Individual proportion of days covered (PDC) not greater than 0.8"
"G9514","Required return to surgery within 90 days"
"G9515","No reason given, no return to surgery within 90 days"
"G9516","Improved visual acuity within 90 days"
"G9517","No improved visual acuity within 90 days"
"G9518","Active injection drug use documented"
"G9519","Final refraction within plus or minus 1.0 diopter within 90 days"
"G9520","Final refraction not within plus or minus 1.0 diopter within 90 days"
"G9521","Emergency room visits and inpatient hospitalizations fewer than 2 in 12 months"
"G9522","Emergency room visits or inpatient hospitalizations 2 or more in 12 months"
"G9529","Minor blunt head trauma with head CT ordered"
"G9530","Patient with minor blunt head trauma, head CT ordered by emergency care provider"
"G9531","Patient documented"
"G9533","Indication for head CT not valid"
"G9537","Head imaging as part of clinical trial"
"G9539","Intent for potential removal documented at time of placement"
"G9540","Patient alive 3 months post procedure"
"G9541","Filter removed within 3 months of placement"
"G9542","Documented reassessment of appropriateness of filter removal at 3 months"
"G9543","Documented two reassessments of filter removal"
"G9544","No filter removal within 3 months of placement"
"G9547","Cystic renal lesion or adrenal lesion"
"G9548","No follow-up recommended on imaging study"
"G9549","Documented medical reason for follow-up imaging"
"G9550","Follow-up imaging recommended"
"G9551","Imaging shows no lesion"
"G9552","Incidental thyroid nodule less than 1.0 cm included in report"
"G9553","Prior thyroid disease diagnosis"
"G9554","CT, CTA, MRI, or MRA of chest with follow-up recommended"
"G9555","Documented medical reason for follow-up imaging"
"G9556","CT, CTA, MRI, or MRA with no follow-up imaging recommended"
"G9557","CT, CTA, MRI, or MRA with no thyroid nodule less than 1.0 cm"
"G9580","Door to puncture time less than 2 hours"
"G9582","Door to puncture time greater than 2 hours, no reason given"
"G9593","Low PECARN score for pediatric head trauma"
"G9594","Patient with minor blunt head trauma, head CT ordered by emergency care provider"
"G9595","Documented shunt, tumor, or coagulopathy"
"G9597","Not low PECARN score for pediatric head trauma"
"G9598","Aortic aneurysm with maximum diameter 5.5 to 5.9 cm"
"G9599","Aortic aneurysm with maximum diameter 6.0 cm or greater"
"G9603","Patient survival improved from baseline with treatment"
"G9605","Survival score not improved with treatment"
"G9606","Intraoperative cystoscopy evaluation with tract injection"
"G9607","Documented medical reason for not performing cystoscopy"
"G9608","Intraoperative cystoscopy evaluation not performed"
"G9609","Antiplatelet therapy order documented"
"G9610","Documented medical reason for no antiplatelet therapy"
"G9611","No documented antiplatelet therapy order, no reason given"
"G9621","Screening for unhealthy alcohol use with counseling performed"
"G9622","Patient is not an unhealthy alcohol user"
"G9624","Patient not screened or no counseling provided"
"G9625","Patient had bladder surgery within 30 days post surgery"
"G9626","Medical reason for not reporting bladder injury"
"G9627","Patient had no bladder surgery within 30 days post surgery"
"G9628","Patient had bowel injury during surgery within 30 days post surgery"
"G9629","Medical reason for not reporting bowel injury"
"G9630","Patient had no bowel injury during surgery within 30 days post surgery"
"G9637","More than one dose reduction technique documented"
"G9638","More than one dose reduction technique not documented"
"G9642","Current smoker"
"G9643","Elective surgery"
"G9644","Patient did not smoke before anesthesia on day of surgery"
"G9645","Patient smoked before anesthesia on day of surgery"
"G9646","Patient with 90-day modified Rankin Scale (mRS) score 0 to 2"
"G9648","Patient with 90-day modified Rankin Scale (mRS) score greater than 2"
"G9649","Psoriasis documented, specific benchmark met"
"G9651","Psoriasis documented, no specific benchmark met"
"G9654","Monitored anesthesia care"
"G9655","Transition of care tool including key elements"
"G9656","Patient transferred from anesthesia to PACU"
"G9658","Transition of care tool, required elements not used"
"G9659","Age 86 years or older, screening colonoscopy, no medical reason"
"G9660","Documented medical reason, colonoscopy patient age 86 years or older"
"G9661","Patient age 86 years or older with high risk"
"G9662","Prior diagnosis or active clinical atherosclerotic cardiovascular disease"
"G9663","Fasting or direct low-density lipoprotein cholesterol greater than or equal to 190 mg/dL"
"G9664","Taking statin or statin ordered"
"G9665","No statin and no statin order"
"G9674","Patient with clinical atherosclerotic cardiovascular disease diagnosis"
"G9675","Patient with fasting or direct low-density lipoprotein cholesterol greater than 190 mg/dL"
"G9676","Age 40 to 75 years with type 1 or type 2 diabetes and LDL-C risk status"
"G9679","Acute care, pneumonia"
"G9680","Acute care, congestive heart failure"
"G9681","Acute care, chronic obstructive pulmonary disease"
"G9682","Acute care, skin infection"
"G9683","Acute care, fluid and electrolyte disorder"
"G9684","Acute care, urinary tract infection"
"G9685","Acute nursing facility care"
"G9687","Hospice during measurement period"
"G9688","Patient with hospice during measurement period"
"G9689","Inpatient elective carotid intervention"
"G9690","Patient in hospital"
"G9691","Patient hospitalized during measurement period"
"G9692","Hospital services received during measurement period"
"G9693","Patient used hospital services during measurement period"
"G9694","Hospital services used during measurement period"
"G9695","Long-acting inhaled bronchodilator prescribed"
"G9696","Medical reason, no bronchodilator prescribed"
"G9698","System reason, no bronchodilator prescribed"
"G9699","Long-acting inhaled bronchodilator not prescribed"
"G9700","Patient hospitalized during measurement period"
"G9702","Patient used hospital services during measurement period"
"G9703","Antibiotics within 30 days prior to episode"
"G9704","AJCC breast cancer stage I, T1mic/T1a"
"G9705","AJCC breast cancer stage IB"
"G9706","Low recurrence-risk prostate cancer"
"G9708","Bilateral mastectomy, history of bilateral mastectomy, or unilateral mastectomy"
"G9709","Hospital services used during measurement period"
"G9710","Patient provided hospital services during measurement period"
"G9711","History of total colectomy or colon cancer"
"G9712","Documented medical reason for prescribing antibiotics"
"G9713","Patient used hospital services during measurement period"
"G9714","Patient hospitalized during measurement period"
"G9716","BMI documented only, follow-up not completed"
"G9717","Documented bipolar disorder diagnosis"
"G9719","Not ambulatory, immobile, or wheelchair-bound"
"G9720","Hospice during measurement period"
"G9721","Not ambulatory, immobile, or wheelchair-bound"
"G9722","History of renal failure or creatinine greater than or equal to 4"
"G9723","Hospital services received during measurement period"
"G9724","Documented anticoagulant use during measurement year"
"G9726","Refused to participate"
"G9727","Unable to complete Lower Extremity Physical Function patient-reported outcome measure"
"G9728","Refused to participate"
"G9729","Unable to complete Lower Extremity Physical Function patient-reported outcome measure"
"G9730","Refused to participate"
"G9731","Unable to complete Lower Back Functional Status patient-reported outcome measure"
"G9732","Refused to participate"
"G9733","Unable to complete Lower Back Functional Status patient-reported outcome measure"
"G9734","Refused to participate"
"G9735","Unable to complete Shoulder Functional Status patient-reported outcome measure"
"G9736","Refused to participate"
"G9737","Unable to complete Elbow, Wrist, and Hand Functional Status patient-reported outcome measure"
"G9740","Hospital services provided during measurement period"
"G9741","Patient with hospice during measurement period"
"G9744","Not eligible due to active diagnosis of hypertension"
"G9745","Documented reason for no blood pressure screening or follow-up"
"G9746","Mitral stenosis, valve condition, or transcatheter atrial fibrillation procedure"
"G9752","Urgent surgery"
"G9753","Documentation not in DICOM format, CT from another facility"
"G9754","Incidental pulmonary nodule"
"G9755","Documented medical reason for no follow-up"
"G9756","Surgical procedure with silicone oil"
"G9757","Surgical procedure with silicone oil"
"G9758","Patient in hospital"
"G9761","Patient with hospice during measurement period"
"G9762","Received 2 to 3 HPV vaccines"
"G9763","Did not receive 2 to 3 HPV vaccines"
"G9764","Treated with oral systemic therapy or biologic therapy"
"G9765","Patient declined therapy"
"G9766","Stroke diagnosis, transferred to another facility"
"G9767","Hospitalized with new stroke diagnosis, evidence-based stroke therapy considered"
"G9768","Patient with hospice during measurement period"
"G9769","Bone density test within 2 years or receiving osteoporosis therapy"
"G9770","Peripheral nerve block"
"G9771","Anesthesia ended, temperature greater than 35.5°C (95.9°F)"
"G9772","Documented medical reason, temperature not greater than or equal to 35.5°C"
"G9773","At least one body temperature greater than or equal to 35.5°C"
"G9775","Received 2 antiemetics preoperatively or intraoperatively"
"G9776","Documented medical reason, no prophylactic antiemetic"
"G9777","No antiemetic received preoperatively or intraoperatively"
"G9779","Breastfeeding"
"G9780","Diagnosed with rhabdomyolysis"
"G9781","Documented reason for no statin"
"G9782","History of familial or pure hypercholesterolemia"
"G9784","Pathologist/dermatopathologist provided second biopsy opinion"
"G9785","Pathology report sent"
"G9786","Pathology report not sent"
"G9787","Patient alive"
"G9788","Most recent blood pressure ≤130/80"
"G9789","Blood pressure recorded inpatient, emergency room, urgent care, or self-reported"
"G9790","Most recent blood pressure ≥130/80"
"G9791","Most recent tobacco status tobacco-free"
"G9792","Most recent tobacco status not tobacco-free"
"G9793","Patient on daily aspirin/antiplatelet therapy"
"G9794","Documented medical reason for no daily aspirin"
"G9795","Patient not on daily aspirin/antiplatelet therapy"
"G9796","Patient currently on statin"
"G9797","Patient not currently on statin"
"G9805","Patient with hospice during measurement period"
"G9806","Patient received cervical cytology/HPV testing"
"G9807","Patient did not receive cervical cytology/HPV testing"
"G9812","Patient died during inpatient stay or within 30 days after"
"G9813","Patient did not die within 30 days of procedure"
"G9818","Sexual activity documented"
"G9819","Patient with hospice during measurement period"
"G9820","Documented chlamydia screening test with follow-up"
"G9821","No documented chlamydia screening test with follow-up"
"G9822","Endometrial ablation procedure in previous year, index date"
"G9823","Endometrial sampling/hysteroscopy biopsy results documented"
